id,title,price,comment,shopName,url,img,img_list,attriName1,attriListName,attriListImg,attriName2,attriListSize,attriName3,attriListMode,shopRating,extraPrice
100145582630,艾慕笙电动经络刷疏通,,200+,艾慕笙医疗保健京东自营旗舰店,https://item.jd.com/100145582630.html,jfs/t1/219480/32/47646/157684/6736f800Fadd459df/dfe62776fcdcacdc.jpg.avif,"jfs/t1/219480/32/47646/157684/6736f800Fadd459df/dfe62776fcdcacdc.jpg.avif, jfs/t1/197679/27/47624/106525/67386b2eFa02cf7d4/e1f31c47b684ab11.jpg.avif, jfs/t1/247383/37/23270/98095/67386b2dF7c719e21/3f13b0951ee9695e.jpg.avif, jfs/t1/216282/37/49024/76937/67386b30F9eeefbdb/50bfbc576da1b2b4.jpg.avif, jfs/t1/168527/26/38199/80196/67386b2fF5124d5b5/eeb824eb043b6727.jpg.avif",选择颜色                                                ,"专利刷灸刮一体【院级按摩】, 【高品质款】电动刮痧拔罐一体","jfs/t1/219480/32/47646/157684/6736f800Fadd459df/dfe62776fcdcacdc.jpg.avif, jfs/t1/217444/26/47015/140094/672c7ad5F61ff4d93/3969fa2bc382192c.jpg.avif",,,,,5.0,109.00
100102862072,房柿 乳房,,2000+,房柿情趣用品京东自营旗舰店,https://item.jd.com/100102862072.html,jfs/t1/249330/17/8769/80844/663f4055F5a7021ed/5e784676f4fa9a90.jpg.avif,"jfs/t1/249330/17/8769/80844/663f4055F5a7021ed/5e784676f4fa9a90.jpg.avif, jfs/t1/157097/12/43331/94060/65fe734eF60f10f30/a932df8e0f590fb1.jpg.avif, jfs/t1/222172/22/39191/86412/66261dffF40fa8f0e/1f92933d504545b4.jpg.avif, jfs/t1/148207/34/31894/90808/66261e00F3d3cb979/c524c521694acfaa.jpg.avif, jfs/t1/220015/10/34507/93929/66261e00F96bcbca6/cfb5c707fc9d80f2.jpg.avif",选择颜色                                                ,"男女调教刺激变态摇签筒激情版, 情侣互动刺激变态游戏无痕胶10米, 调情挑逗乳头刺激变态工具刺轮, 同房姿势辅助私处调情工具低温蜡, 调情工具同房姿势辅助器情趣项圈, 束缚固定床上助爱道具丝带眼罩, 情侣调教刺激变态刑具流苏皮鞭, 情侣互动戏调教专用口球4.5cm, 坐脸同房姿势辅助器双头阳具口塞, 床上助爱同房姿势辅助器口爆口枷, 姿势辅助惩罚私处神器口枷4cm, 变态刑具情侣调情工具阴di乳夹, 同房姿势辅助器调教游戏电动乳夹, 私处尿喷神器私处乳房调教道具, 床上助爱游戏解压神器乳阴按摩器, 羞辱方便床上做事助爱束缚手脚铐, 同房姿势辅助器床上助爱开腿器, 同房姿势辅助器房事调情工具手铐, 潮吹SPA必备加厚防污防水床单, 床上助爱情侣玩具高端调情眼罩","jfs/t1/227981/40/20317/97164/6662af80Ffa9fad0f/ccd9d5771470022d.jpg.avif, jfs/t1/170664/2/48060/125398/66f609d7Fe95fa385/c522bafff6108853.jpg.avif, jfs/t1/107982/30/50175/72613/661c80e7F19a33946/82773a476aa00c29.jpg.avif, jfs/t1/191320/23/49448/90824/6708e0faF0ae29cb1/95a2f110f70e0c6e.jpg.avif, jfs/t1/199596/29/42382/72690/66305a12F3aa9d76a/0a9183766677591d.jpg.avif, jfs/t1/246120/17/6497/75511/660149e2F73550ceb/3582a8abdf126d76.png.avif, jfs/t1/248631/29/9442/89009/664af155F1b4d7aa8/e8ad2eee4273ee98.jpg.avif, jfs/t1/68786/31/25418/106820/66a1b320F11e2d433/0910495ddd2af23a.jpg.avif, jfs/t1/234069/23/17103/76222/665ae023F51b4311d/751bde2dc6b0fcdf.jpg.avif, jfs/t1/248330/20/13205/97164/667fccc7Fa82019aa/bb954e3070143d23.jpg.avif, jfs/t1/174953/31/51280/76486/6740283dF581f42f2/5f083e1b4560c6b8.jpg.avif, jfs/t1/198437/40/41044/102822/665ad92fFcaeda24a/ba976a225489d91e.jpg.avif, jfs/t1/94391/35/47084/147794/66b08cd9Fae2e9f86/9e46b6e2c3fd2730.jpg.avif, jfs/t1/249330/17/8769/80844/663f4055F5a7021ed/5e784676f4fa9a90.jpg.avif, jfs/t1/207710/21/41329/106954/663f40bdFcb4f518d/eb921e9a246762c1.jpg.avif, jfs/t1/157197/30/46516/53783/6641d663F6992193b/0bc0f42d59b8ed91.jpg.avif, jfs/t1/217221/22/49382/77126/673d9f9eF9fc6ab61/601d6bbf226a8d96.jpg.avif, jfs/t1/247274/28/11399/58641/668b5854F791bfef0/d4024dac7a34d9fd.jpg.avif, jfs/t1/236582/28/17780/145995/665ae048F71904077/dda9f76f3ba685c8.jpg.avif, jfs/t1/227600/38/22974/96459/6683a84dFa997ff4a/e3ece27b11747b76.jpg.avif",,,,,5.0,50.20
10124913959971,,,500+,京喜自营官方店,https://item.jd.com/10124913959971.html,jfs/t1/240958/18/26974/89476/674ee652F7264e828/80ea30c953000dc9.jpg.avif,jfs/t1/192251/3/54591/89438/6751b79bFc08aa0d4/b60c20fd5396b44d.jpg.avif,选择颜色                                                ,"桃红色, 蓝色, 绿色, 紫色","jfs/t1/192251/3/54591/89438/6751b79bFc08aa0d4/b60c20fd5396b44d.jpg.avif, jfs/t1/192251/3/54591/89438/6751b79bFc08aa0d4/b60c20fd5396b44d.jpg.avif, jfs/t1/192251/3/54591/89438/6751b79bFc08aa0d4/b60c20fd5396b44d.jpg.avif, jfs/t1/192251/3/54591/89438/6751b79bFc08aa0d4/b60c20fd5396b44d.jpg.avif",,,,,5.0,15.00
100042271108,特步（XTEP）,,5万+,特步（XTEP）健身训练京东自营旗舰店,https://item.jd.com/100042271108.html,jfs/t1/190530/7/47604/82604/66f3e07aF3f4c62e5/01feb103d57e2a0c.jpg.avif,"jfs/t1/190530/7/47604/82604/66f3e07aF3f4c62e5/01feb103d57e2a0c.jpg.avif, jfs/t1/248229/32/23355/80935/672c86c4Fbbcea1bc/cf60117af0581733.jpg.avif, jfs/t1/90210/3/40341/130195/64eddc5bF37f2f7a8/467cee10e17bad94.jpg.avif, jfs/t1/106448/28/35006/102617/64f52aabF91893e66/6202d68bbb69cb2c.jpg.avif, jfs/t1/112022/40/41424/139484/64eddc5bF14298b9d/14d010eb7284e5a8.jpg.avif",选择颜色                                                ,"【加厚款】防滑耐磨 嫩粉色, 全新TPE【多功能静音防滑垫】粉, 【双面防滑】江浙沪东三省可拍, 【加大款】多功能垫 香芋紫, 【加大款】多功能垫 嫩绿色, 【29.9捡漏】京冀津陕甘青可拍, 全新TPE【多功能静音防滑垫】紫, 【加大款】多功能垫 粉色, 【防滑耐磨】东三省可拍","jfs/t1/190530/7/47604/82604/66f3e07aF3f4c62e5/01feb103d57e2a0c.jpg.avif, jfs/t1/102239/19/53236/159228/66fb92cbF2b5ebc08/fa259d7fc1117214.jpg.avif, jfs/t1/230960/15/27553/123339/66f3e07cF0788c82c/074ac32b0304be19.jpg.avif, jfs/t1/186486/25/48582/157957/66fcbe92F5d6b572f/1cfc891b4ed156d5.jpg.avif, jfs/t1/235840/37/26285/158341/66fb92cbF49d880ec/2a9ceb90bfe4ba41.jpg.avif, jfs/t1/230960/15/27553/123339/66f3e07cF0788c82c/074ac32b0304be19.jpg.avif, jfs/t1/90466/24/46023/104995/66f3e37fF8a2421eb/2a77f023b341ded3.jpg.avif, jfs/t1/230960/15/27553/123339/66f3e07cF0788c82c/074ac32b0304be19.jpg.avif, jfs/t1/234175/37/26214/105213/66f3e07aF870d3c39/9ecd5cb1ae7293fb.jpg.avif",,,,,5.0,32.90
100097393828,李宁（LI-NING）,,2万+,李宁（LI-NING）瑜伽京东自营专区,https://item.jd.com/100097393828.html,jfs/t1/190911/29/50587/137014/672c70dbFa2bd0ef5/405bfaa72054482a.jpg.avif,"jfs/t1/190911/29/50587/137014/672c70dbFa2bd0ef5/405bfaa72054482a.jpg.avif, jfs/t1/181399/40/52734/97555/672c70d9Fbf7602d4/51a573b9846a9219.jpg.avif, jfs/t1/208950/21/48153/199160/672c70dbF409775a4/0743cefed4d06aaa.jpg.avif, jfs/t1/205681/15/45487/215314/672c70e4Ffea3b9e7/de2dee54e9b1d085.jpg.avif, jfs/t1/242901/27/22586/146531/672c70e0Ff2388878/e2bd0aca99241a54.jpg.avif",选择颜色                                                ,"热销款【tpe专业健身】灰, 升级款【tpe专业健身】绿, 升级款【tpe专业健身】粉, 加宽款【tpe专业不出垫】灰, 加宽款【tpe专业不出垫】绿, 加宽款【tpe专业不出垫】紫, 加厚款【tpe专业防护】灰, 加厚款【tpe专业防护】绿, 加厚款【tpe专业防护】粉, 加厚款【tpe专业防护】紫","jfs/t1/248683/14/23143/110519/672c857aFc54c30dc/625fbf3275371836.jpg.avif, jfs/t1/248536/19/23216/105059/672c82abFc888eae3/75ec1b4e6dcc27bd.jpg.avif, jfs/t1/190911/29/50587/137014/672c70dbFa2bd0ef5/405bfaa72054482a.jpg.avif, jfs/t1/199464/13/47672/149736/672c6862Ffae7a69b/84b5c69d33504bdb.jpg.avif, jfs/t1/222034/35/47438/153361/672c749dF59b919a2/af0e255d8155487b.jpg.avif, jfs/t1/221747/17/45765/154951/6718c995F85a09d88/9577570e165c25ab.jpg.avif, jfs/t1/177073/18/52349/135259/672c6d17F9a693d32/e3d2acd5f1810f88.jpg.avif, jfs/t1/183410/21/49875/135313/670e14fcFe315b3c2/8d73fbee5c4101ea.jpg.avif, jfs/t1/210276/24/46904/139228/672c81b8Ff9726d6f/073d93f37bc6b7bc.jpg.avif, jfs/t1/200097/32/46153/176210/67175bd1F7e04e8e1/e289758090e58b0f.jpg.avif",,,,,5.0,75.00
10075208508948,完美工体,,100+,完美工体运动户外旗舰店,https://item.jd.com/10075208508948.html,jfs/t1/113522/26/38292/41509/64c357fdFc9028afc/b09e645d13d4b966.jpg.avif,"jfs/t1/113522/26/38292/41509/64c357fdFc9028afc/b09e645d13d4b966.jpg.avif, jfs/t1/136881/39/36750/61836/6459b7eeF7cffb1eb/0a4c6aa59c49dc12.jpg.avif, jfs/t1/56113/35/21521/61488/6459b941Fbf918853/e4a31d61eaf01959.jpg.avif, jfs/t1/210057/32/33734/97285/6459b7eeF5bc0752d/9680f5cb86fea058.jpg.avif, jfs/t1/123153/35/36865/126227/6459b7eeFe7dba074/e38994d3c949c5f9.jpg.avif",选择颜色                                                ,"紫色, 蓝色, 粉色","jfs/t1/113522/26/38292/41509/64c357fdFc9028afc/b09e645d13d4b966.jpg.avif, jfs/t1/105231/30/41922/43163/64c35804F1d04f959/f2a597e9f0eea196.jpg.avif, jfs/t1/134774/7/37745/41178/64c35809Fe49a5103/3a9385d5fa168b26.jpg.avif",,,,,3.0,16.80
10052872184944,浙睿,,2000+,佳多睿运动户外专营店,https://item.jd.com/10052872184944.html,jfs/t1/72391/1/18518/138562/628b98b9E52c874bd/f5b0a3e136778dc0.jpg.avif,"jfs/t1/72391/1/18518/138562/628b98b9E52c874bd/f5b0a3e136778dc0.jpg.avif, jfs/t1/146121/27/29587/98565/6301edc4Eebe3ad6f/39a58ae2e6d9cf84.jpg.avif, jfs/t1/1146/28/17213/163103/628b98b9E6e187d49/6649379dcd4cee5b.jpg.avif, jfs/t1/212410/14/19314/211253/628b98b9Eab3fc581/55a737124c715844.jpg.avif, jfs/t1/49330/29/18537/113657/628b98b9Ef388882e/85a3790647ef4a69.jpg.avif",选择颜色                                                ,"瑜伽垫随机色【183cm*61cm*5mm】, 瑜伽垫随机色【183cm*80cm*5mm】","jfs/t1/72391/1/18518/138562/628b98b9E52c874bd/f5b0a3e136778dc0.jpg.avif, jfs/t1/72391/1/18518/138562/628b98b9E52c874bd/f5b0a3e136778dc0.jpg.avif",,,,,4.9,20.80
100026832473,yottoy防滑,,2万+,yottoy京东自营旗舰店,https://item.jd.com/100026832473.html,jfs/t1/226939/6/27768/117408/670f7c74F282cb53f/8a47dfb34ba119e6.jpg.avif,"jfs/t1/226939/6/27768/117408/670f7c74F282cb53f/8a47dfb34ba119e6.jpg.avif, jfs/t1/196418/21/45179/49377/66503d40Ffc159c68/668e99c9f3fbc65d.jpg.avif, jfs/t1/56097/28/24522/43539/669f0a73F6924648b/3e215f4b7bbb143b.jpg.avif, jfs/t1/47292/38/27242/158066/669f0a73Fd3bb91d2/2a045bb27b329471.jpg.avif, jfs/t1/17393/4/22053/58168/669e2f76F95239ace/dc58643f7ca360ec.jpg.avif",选择颜色                                                ,"风信紫【赠网包+绑带】6mm, 云山蓝【赠网包+绑带】6mm, 珊瑚粉【赠网包+绑带】6mm, 摩登绿【赠网包+绑带】6mm, 玛瑙灰【赠网包+绑带】6mm","jfs/t1/104875/31/53306/109675/670f7c73Fc3643442/a9fc67a5131f8a99.jpg.avif, jfs/t1/239322/36/18379/112143/670f7c73F8c438dc2/cb7efcc9b9638f89.jpg.avif, jfs/t1/226939/6/27768/117408/670f7c74F282cb53f/8a47dfb34ba119e6.jpg.avif, jfs/t1/133911/1/45014/118932/670f7c72F3265eaa7/41ced35cb43c90e2.jpg.avif, jfs/t1/186714/27/49666/105693/670f7c72F5afafd3b/19d86d627fd345e4.jpg.avif",,,,,5.0,46.00
10118428085359,,,4,郗郗精选小店,https://item.jd.com/10118428085359.html,jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif,"jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/186654/38/48892/47456/66f6596fFae8f803b/7d8808ea2b1bce54.jpg.avif, jfs/t1/184228/23/48341/53809/66f65972Fbe26f585/5725c8c5523569e1.jpg.avif, jfs/t1/168917/19/49288/42859/66f65973Fa1097202/a75aa9b46dd58a2a.jpg.avif, jfs/t1/239447/24/16590/88756/66f65975F2f1b01b0/d12676d57fb9b9fa.jpg.avif",选择颜色                                                ,"纯净版【随机色】+, 纯净版【珊瑚粉】+, 纯净版【湖水绿】+, 纯净版【雾霾蓝】+, 纯净版【高雅灰】+, 纯净版【香芋紫】+, 体式引导线【随机色】+, 体式引导线【珊瑚粉】+, 体式引导线【湖水绿】+, 体式引导线【雾霾蓝】+, 体式引导线【高雅灰】+, 体式引导线【香芋紫】+, 纯净版【随机色】+收纳包+, 纯净版【珊瑚粉】+收纳包+, 纯净版【湖水绿】+收纳包+, 纯净版【雾霾蓝】+收纳包+, 纯净版【高雅灰】+收纳包+, 纯净版【香芋紫】+收纳包+, 体式引导线【随机色】+收纳包+, 体式引导线【珊瑚粉】+收纳包+, 体式引导线【湖水绿】+收纳包+, 体式引导线【雾霾蓝】+收纳包+, 体式引导线【高雅灰】+收纳包+, 体式引导线【香芋紫】+收纳包+","jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif, jfs/t1/106704/16/46738/78529/66f65972F8f9a7f33/7b6d2ca01b2a1e1b.jpg.avif",选择尺码                                                ,"183*61厘米【厚6mm】, 183*61厘米【厚8mm】, 183*80厘米【厚6mm】, 183*80厘米【厚8mm】, 40*60厘米【厚4mm】, 主图款一款",,,4.1,8.10
10082845023231,ANTEPOP,,500+,ANTEPOP运动旗舰店,https://item.jd.com/10082845023231.html,jfs/t1/178586/30/49409/736332/6713da4dF91257ec1/ac4332b4ab3bdd3e.png.avif,"jfs/t1/178586/30/49409/736332/6713da4dF91257ec1/ac4332b4ab3bdd3e.png.avif, jfs/t1/165743/18/39640/80943/64d3505cFf8170200/71fb5905c5e0c89a.jpg.avif, jfs/t1/170569/21/39981/63595/64d5f6beF64630aff/7c440651282bf2d2.jpg.avif, jfs/t1/222687/23/34030/59419/64d5f6beF54c70108/6e6f6c96c7372bb9.jpg.avif, jfs/t1/117045/13/38903/69002/64d3505bF2ca6eae8/9107310ec3db43b2.jpg.avif",选择颜色                                                ,"黑【多功能健身+扭腰盘】音乐款, 灰【多功能健身】坡度可调, 黑+加长防护扶手+多功能健身, 红+加长防护扶手+多功能健身, 黑+加长防护扶手+多功能健身APP, 红+加长防护扶手+多功能健身APP","jfs/t1/178586/30/49409/736332/6713da4dF91257ec1/ac4332b4ab3bdd3e.png.avif, jfs/t1/178760/6/44855/67850/6634467eF7452b18f/70957d1cc6a99506.png.avif, jfs/t1/186103/36/46193/132689/666e480dFf227afee/3be31e82007939b3.jpg.avif, jfs/t1/176559/20/40267/122523/65093d14Fbbea0504/cbc6dbb5c0998d2e.jpg.avif, jfs/t1/245706/19/11886/138161/666e4816Fba7755d3/51f7e0354240d661.jpg.avif, jfs/t1/221659/1/28040/135038/65093cf6F766dabd9/67f22236ab80c49f.jpg.avif",,,,,,428.00
