id,title,price,comment,shopName,url,img,img_list,attriName1,attriListName,attriListImg,attriName2,attriListSize,attriName3,attriListMode,shopRating,extraPrice
50465229782,萤石 智能猫眼,,5000+,萤石欣互专卖店,https://item.jd.com/50465229782.html,jfs/t1/188025/7/50562/136839/673b112dF1cec81f5/af5b57ed06140ef1.jpg.avif,"jfs/t1/188025/7/50562/136839/673b112dF1cec81f5/af5b57ed06140ef1.jpg.avif, jfs/t1/151571/9/21148/118744/6041e6b4E70cef873/f8fae56ace0b42be.jpg.avif, jfs/t1/106307/27/683/87558/5db28a90E0068f8ef/ac798773f99ebbf4.jpg.avif, jfs/t1/169254/1/9469/137910/6041e70cEed0ca484/99ec4281c30895bf.jpg.avif, jfs/t1/156749/7/12851/119703/6041e1b8E05e9d207/237f3773c0f64851.jpg.avif",选择颜色                                                ,"DP1C（高清720P）, DP2C猫眼（超清300万）-享32G卡, DP2C（超清200万）-享32G卡, DP2S触屏增强版（超清300万）, DP2触屏版（超清300万）, DP2C 200万+64G内存卡(免费升128G）, DP2C 200万+128G卡（免费升256G）, DP2C 200万+32G内存卡（免费升64G）, CP3pro门铃白色 免开孔（超清300万）","jfs/t1/72570/11/19910/102234/64818ab0Ff9ca403a/2d3bc122aabbbff4.jpg.avif, jfs/t1/249909/34/24759/141656/673b112fF4527ce93/9f7bd65a18c1a303.jpg.avif, jfs/t1/188025/7/50562/136839/673b112dF1cec81f5/af5b57ed06140ef1.jpg.avif, jfs/t1/239145/39/24185/103751/6743d870Fc22e8933/f94440572fd4ac70.jpg.avif, jfs/t1/102252/14/54929/110352/6743d8c5F61ed0fc0/a69922ca19fa1c0d.jpg.avif, jfs/t1/40769/26/25349/79296/673b1130F12bd8377/bbde73ec1d230813.jpg.avif, jfs/t1/40769/26/25349/79296/673b1130F12bd8377/bbde73ec1d230813.jpg.avif, jfs/t1/188025/7/50562/136839/673b112dF1cec81f5/af5b57ed06140ef1.jpg.avif, jfs/t1/244230/18/25945/102844/6743d8c7Fb93ab7a0/d818a27223b854be.jpg.avif",,,,,,394.00
47129113649,连防,,2万+,安吉思智能家居专营店,https://item.jd.com/47129113649.html,jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif,"jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif, jfs/t1/61925/30/25158/56944/64200a1fFa9636854/d243e260f15b3054.jpg.avif, jfs/t1/119351/39/33490/78897/64200a26F256f9a83/93226b1999ef86ff.jpg.avif",选择款式                                                ,"【NB】3年流量电话短信6条, 【家用推荐款】10年待机, 【消防经典3年待机款】, 新国标应急灯, 【消防经典款】, 【消防认证款】（店长推荐）, 【消防验收款】90%选择, 消防面具【店长推荐】, 【消防推荐款】","jfs/t1/229903/14/4510/124328/65646b8eF5b48a99c/8747a822540922d9.jpg.avif, jfs/t1/177750/34/35449/102631/65646b8eFc5e2abc1/4d65b9b39c46420c.jpg.avif, jfs/t1/194831/18/39997/102978/65646b8fF4e2c3e3f/a401dacc90f8ea96.jpg.avif, jfs/t1/226901/8/4823/53353/65646b8fF51b554f7/aeb3d0f6ac040399.jpg.avif, jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif, jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif, jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif, jfs/t1/107472/8/34777/124743/6543537dF8d475fec/31c2c73bf72321bb.jpg.avif, jfs/t1/197971/15/37810/96563/65646b8fFf43240ea/da26dbbaf5c7abb6.jpg.avif",,,,,,12.80
10080370704960,北京利达烟感,,200+,粤安消防经营部,https://item.jd.com/10080370704960.html,jfs/t1/180160/24/47585/57088/66d9785dF509534f7/1fdc20c2ea8085af.jpg.avif,"jfs/t1/180160/24/47585/57088/66d9785dF509534f7/1fdc20c2ea8085af.jpg.avif, jfs/t1/135174/40/39441/21365/64c8b4beFd9a10401/732a5f06c10ba900.jpg.avif, jfs/t1/176930/14/36253/50182/64c8b4beF82c88ef8/8a6257fb95103e3a.jpg.avif, jfs/t1/223405/2/31189/27869/64c8b4beFdeedb96c/7f193d852150a2ef.jpg.avif, jfs/t1/174734/14/35342/23544/64c8b4beF60b83c4c/bff58b18193bb276.jpg.avif",选择颜色,"JTY-GM-LD3000EN/C单烟感, JTY-GM-LD3000EN/C烟感+底座, LD3300EN单温感, LD3300EN温感+底座, LD2003EN手报按钮, LD2004EN消火栓按钮, LD1002EN声光报警器(2线)编码型, LD1001EN声光报警器(4线) 编码型, LD1002EN(F)声光(2线)非编码, LD3600ET替代LD3600ED-1隔离模块, LD4400ED-1单输入模块, LD4400ED-2双输入模块, LD6804ED输出模块, LD6800ED-1单输入/输出模块, LD6800ED-2双输入/输出模块, 烟感温感通用底座LD10EN, LD128E(T)-D火灾显示盘, 利达编码器LD128EN-101, LD3200E 复合烟温感含底座","jfs/t1/229824/10/24567/55599/66d9785dF8f1427e8/b645295f4080251d.jpg.avif, jfs/t1/180160/24/47585/57088/66d9785dF509534f7/1fdc20c2ea8085af.jpg.avif, jfs/t1/227934/26/26215/55298/66d98037Fd5324a36/c8f60e6182a6ea7e.jpg.avif, jfs/t1/239299/3/11879/56792/66d98037Ffd9b6e29/71748d21d999f8d6.jpg.avif, jfs/t1/437/39/26563/58525/66d98e8dF6a79f256/dc161559f7529818.jpg.avif, jfs/t1/94585/9/43026/50059/66d98e8cFc77df197/023e366bcd7af4a9.jpg.avif, jfs/t1/158071/25/47460/69569/66d98db5F3f9337f2/824238378a04edd2.jpg.avif, jfs/t1/157678/26/47104/69845/66d98ddfF966b5de6/c28bde06410e0d89.jpg.avif, jfs/t1/180713/40/47822/69569/66d98df1F2a1811c5/ff71c0d5387f832c.jpg.avif, jfs/t1/216343/19/31764/66019/64c8c2c3Fab625043/77fb653e067d0975.jpg.avif, jfs/t1/176926/14/39909/59598/64c8c30fFf51cd0d2/0ca0b04e6ba07c2b.jpg.avif, jfs/t1/136866/18/36402/63151/64c8c361Fb88d4553/8a786dd2d22eb60e.jpg.avif, jfs/t1/186926/27/35768/59040/64c8c4edF3acbd27e/cf86cd70699a5900.jpg.avif, jfs/t1/188374/40/35578/68950/64c8c3daFf0ec504f/9f14d2e20493de41.jpg.avif, jfs/t1/156780/32/38347/70999/64c8c490F76c260ae/dc48084060e1261d.jpg.avif, jfs/t1/163486/14/38131/96082/64c8ce14F5bd88562/52379ec033d87e7b.jpg.avif, jfs/t1/158794/24/48255/69223/670f6f6fFc2d92127/14a2e89325abf98c.jpg.avif, jfs/t1/170319/25/39398/55831/64c8c53fF532a8c2f/91774440d9fee6de.jpg.avif, jfs/t1/174473/24/47545/37266/66de89b2F20b39621/c9748da1e9097801.png.avif",,,,,4.9,17.50
100100579034,艾礼安 5G,,500+,艾礼安（ALEAN）京东自营专卖店,https://item.jd.com/100100579034.html,jfs/t1/248453/26/13869/85119/6684c476Fb1b82c13/386644b06de104fe.jpg.avif,"jfs/t1/248453/26/13869/85119/6684c476Fb1b82c13/386644b06de104fe.jpg.avif, jfs/t1/230178/29/24818/79932/66e4df12Fb592ec78/38d85fcbf0cde8b8.jpg.avif, jfs/t1/94809/33/43482/52675/6662b972F572dffb1/d5255e1a2a6fc32f.jpg.avif, jfs/t1/236495/13/18684/50464/6662b972Fd42ed7b6/3714fc6fad241dc1.jpg.avif, jfs/t1/190709/15/47243/70899/6662b962F41f1ea27/5c8716793b71a6fe.jpg.avif",选择颜色,【京东速配】5G智能烟雾报警器,jfs/t1/248453/26/13869/85119/6684c476Fb1b82c13/386644b06de104fe.jpg.avif,,,,,5.0,76.40
10084634149495,狮王无线,,100+,狮王（SEWIER）安防旗舰店,https://item.jd.com/10084634149495.html,jfs/t1/175903/6/46380/96554/672dcce6F26c6bd75/239a5f2259795c18.jpg.avif,"jfs/t1/175903/6/46380/96554/672dcce6F26c6bd75/239a5f2259795c18.jpg.avif, jfs/t1/101643/25/51938/156265/672dc956F53e55600/3523f6bedf0bc11d.jpg.avif, jfs/t1/222890/21/45409/99740/672dc95dF799d4d18/6557d8a71b9cc615.jpg.avif, jfs/t1/197336/35/47992/68863/672dc960F8267c174/6c3dc7a8aa2df349.jpg.avif, jfs/t1/104400/7/53926/86324/672dc970Fc6eb2c0d/46f8874817edc5cc.jpg.avif",选择款式                                                ,"【消防验收标准款】待机1年, 【消防验收标准款】待机3年, 【消防验收标准款】待机5年, 【消防验收标准款】待机10年, 升级款 双通道 锂电池待机10年, 4G联网款 单通道 待机3年, 4G联网款 单通道 待机5年, 4G联网款 双通道 待机5年, 烟温一体报警器 待机3年, 烟温一体报警器 待机5年","jfs/t1/175903/6/46380/96554/672dcce6F26c6bd75/239a5f2259795c18.jpg.avif, jfs/t1/149940/8/45705/96688/672dccf7F8607f303/e0fbbea235d91394.jpg.avif, jfs/t1/219600/9/47178/96674/672dcd06F55941080/f77025e4506829ff.jpg.avif, jfs/t1/229166/12/29267/96828/672dcd17F521f0cb5/7364827803459928.jpg.avif, jfs/t1/178983/2/51798/98768/672dcd32Fdee0e309/5590181fcda59102.jpg.avif, jfs/t1/248535/26/23243/101679/672dcd46F925a0ad1/4e6c0dbdd6ec2444.jpg.avif, jfs/t1/197482/31/47880/101734/672dcd55F519f2c42/51ee1151f27da57a.jpg.avif, jfs/t1/173271/2/51101/103274/672dcd60Fad103554/6e8d949f0a33f306.jpg.avif, jfs/t1/246593/38/23604/98584/672dcd6dF5941ec9e/493cb2847ebcf9ea.jpg.avif, jfs/t1/241685/29/21001/98570/672dcd78F177e41f4/e08791f17f2f004f.jpg.avif",,,,,,9.95
100110400701,岡祈(Gangqi) 家用一氧化碳,,200+,岡祈（Gangqi）工业品京东自营旗舰店,https://item.jd.com/100110400701.html,jfs/t1/198071/38/51080/128989/67500279Fb93d3774/33cdac5d14c1ab2b.jpg.avif,"jfs/t1/136156/27/50351/135623/672d6be3F16f63a6e/b3094ef4f2429e60.jpg.avif, jfs/t1/244108/16/12992/111980/668f9042F632786c0/817807669b104117.jpg.avif, jfs/t1/831/36/21904/53641/668f9041F10f608d7/7354e7b9533fe7e1.jpg.avif, jfs/t1/249114/15/14719/110317/668f9041F19798a0b/01db8a87fa9b0c02.jpg.avif, jfs/t1/232335/14/21718/36305/668f9041F6684a01d/961135e91e3c503f.jpg.avif",选择颜色,"新国标【基础款】电池供电, 新国标【升级款】灵敏加强, 新国标【旗舰款】政企推荐","jfs/t1/136156/27/50351/135623/672d6be3F16f63a6e/b3094ef4f2429e60.jpg.avif, jfs/t1/239181/11/20970/84105/6752dacfF30f44a6a/e70c237a01d909dc.jpg.avif, jfs/t1/212075/33/51086/84108/6753e11eF4c0e60e3/572e01ca9946a99c.jpg.avif",,,,,5.0,25.40
10119784472062,PGST应急救援,,6,京喜自营官方店,https://item.jd.com/10119784472062.html,jfs/t1/247002/25/27492/168557/674edd0dF3955ed3e/04296dbc161b3eda.jpg.avif,"jfs/t1/188334/15/53257/168597/6751ae6eF8d7438ee/97e49167e61e797d.jpg.avif, jfs/t1/167205/37/48875/49400/67061669F18fa09a2/127dd7efb3e27b99.jpg.avif, jfs/t1/93148/30/51315/66456/6706166aFd0178bca/ed1ea2c26429b940.jpg.avif, jfs/t1/109283/37/54477/47895/6706166bF92a3f91e/ab9c3be1c0d7b1f1.jpg.avif, jfs/t1/156889/32/47050/92455/6706166bF67264179/7705bcba10495373.jpg.avif",选择颜色                                                ,"消防3C认证-独立烟雾报警器, 消防3C认证-WIFI烟感APP远程报警, 数显燃气报警器-消防认证, 一氧化碳报警器-消防认证","jfs/t1/233796/27/28647/171210/6751ae72F2f5cd4b3/84bbb0c8cf44252e.jpg.avif, jfs/t1/218260/37/51165/166009/6751ae6dFfbef7015/e4c61f5cf9533da9.jpg.avif, jfs/t1/206967/24/50248/155938/6751ae71Fe3b15029/fe14c491c1f6cd14.jpg.avif, jfs/t1/188334/15/53257/168597/6751ae6eF8d7438ee/97e49167e61e797d.jpg.avif",,,,,5.0,23.90
10027663415451,中加沃安,,500+,中加沃安旗舰店,https://item.jd.com/10027663415451.html,jfs/t1/210310/33/28196/100899/636d1832Edac20df2/67051f6c6b0760f5.jpg.avif,"jfs/t1/210310/33/28196/100899/636d1832Edac20df2/67051f6c6b0760f5.jpg.avif, jfs/t1/111937/36/39375/47522/648bf3d5F1bd8d8f3/53ee37339547168f.jpg.avif, jfs/t1/134792/3/35875/80655/648bf3d5F7dc062a9/693e1b4f9d4aec07.jpg.avif, jfs/t1/180877/18/13844/108010/60c2d271E62eb05dc/5b958b96d3156c78.jpg.avif, jfs/t1/179453/15/38353/66880/650a98e3Ffce10925/e755769057e34026.jpg.avif",选择颜色                                                ,"独立式光电烟感报警器·5年续航, 一氧化碳报警器","jfs/t1/210310/33/28196/100899/636d1832Edac20df2/67051f6c6b0760f5.jpg.avif, jfs/t1/235066/37/13202/71783/65b1cf48Fbfcd8a79/87703dcb37de1406.jpg.avif",,,,,,94.00
100064559574,iHORN豪恩,,2000+,iHORN京东自营旗舰店,https://item.jd.com/100064559574.html,jfs/t1/89323/26/42112/67760/64e86d81F8508b8f0/a6551f383b02ca11.jpg.avif,"jfs/t1/89323/26/42112/67760/64e86d81F8508b8f0/a6551f383b02ca11.jpg.avif, jfs/t1/159175/38/38509/72411/65f7b99cFd096ea51/d43d5b3f2b908ee4.jpg.avif, jfs/t1/102195/25/44520/91316/64e86d7eF2245613f/24fda7fd8b97955e.jpg.avif, jfs/t1/144051/8/37552/55628/64e86d7fF2984172b/cdea1fa8d170806c.jpg.avif, jfs/t1/195731/8/37081/33801/64e86d7eFbd9e0ebc/c6d1e59725b5214d.jpg.avif",选择款式                                                ,"【新国标】一氧化碳报警器, 【3年寿命】一氧化碳报警器, 【5年寿命】一氧化碳报警器, 【圆形3年】一氧化碳报警器, 【方形3年】一氧化碳报警器","jfs/t1/230167/26/6108/56533/656efe90F2b4f5fa4/4207955ef504c597.jpg.avif, jfs/t1/219187/5/26060/40328/6699c955F95d09946/f31de8d4c7f242d0.jpg.avif, jfs/t1/219187/5/26060/40328/6699c955F95d09946/f31de8d4c7f242d0.jpg.avif, jfs/t1/128100/16/36111/66030/64e86927F36429ddc/e79f04c86679a12d.jpg.avif, jfs/t1/89323/26/42112/67760/64e86d81F8508b8f0/a6551f383b02ca11.jpg.avif",,,,,5.0,59.00
10023251515489,大九卫,,100+,大九卫智能家居专营店,https://item.jd.com/10023251515489.html,jfs/t1/242249/37/16583/122236/66d67ff9F58d8e9ee/b869e3b6bf73a356.jpg.avif,"jfs/t1/242249/37/16583/122236/66d67ff9F58d8e9ee/b869e3b6bf73a356.jpg.avif, jfs/t1/129480/7/44207/103083/66d6703bF9b143c41/4e19c66044045f0f.jpg.avif, jfs/t1/71325/31/28083/110204/66d6703aF5ca1994e/1fbd3cd83c31ed70.jpg.avif, jfs/t1/132855/10/12869/85396/5f8cf974E864c14c7/bd4477f9aba26327.jpg.avif, jfs/t1/130043/28/12593/85429/5f8cf974Ec86b154b/f37ce4c4625a6580.jpg.avif",选择款式                                                ,"307新国标经济款 电池待机两年款, 801新国标消防 电池待机一年款, 8093新国标消防 电池待机三年款, 8091消防认证语音数显品质款, 消防数显新国标电池一年款, 4G网络电话拨号款一氧化碳, NB语音数显插电款 自动电话拨号","jfs/t1/242249/37/16583/122236/66d67ff9F58d8e9ee/b869e3b6bf73a356.jpg.avif, jfs/t1/105147/38/47902/127342/66d68041Fd00e7545/2f2e19c5ea19535e.jpg.avif, jfs/t1/249290/21/18049/123651/66d68051F3d9ad1cb/d6f350dc82f08a2e.jpg.avif, jfs/t1/131934/24/43588/112766/66d6805dF4e5d4215/4fe1e08547393653.jpg.avif, jfs/t1/230431/19/26504/136616/66d680acF2e977f5c/24830e6004f13941.jpg.avif, jfs/t1/173163/5/47496/128512/66d680c5Fcf99e349/4001475caf9a2eda.jpg.avif, jfs/t1/248072/22/18046/122186/66d680ceFc1301fea/8289aea77a1f4e31.jpg.avif",,,,,4.8,19.00
