id,title,price,comment,shopName,url,img,img_list,attriName1,attriListName,attriListImg,attriName2,attriListSize,attriName3,attriListMode,shopRating
100077202019,奥克斯（AUX）,79.00,2万+,奥克斯个护京东自营旗舰店,https://item.jd.com/100077202019.html,jfs/t1/177509/13/54223/97915/67486d2cF31e51d04/31c0ddc63768d443.jpg.avif,"jfs/t1/177509/13/54223/97915/67486d2cF31e51d04/31c0ddc63768d443.jpg.avif, jfs/t1/237626/11/5189/96220/656abd8cFca0ae200/874956bfdf56898b.jpg.avif, jfs/t1/231776/32/19490/68948/6663f528F8fcb92c4/61594d40729f3fa4.jpg.avif, jfs/t1/228585/35/5346/99842/656abd8dFdac0be93/054406406d2fe5f9.jpg.avif, jfs/t1/228534/21/5536/50000/656abd8aFe252e141/a5d83fcdd4c0dc0f.jpg.avif",选择款式                                                ,"炫光紫【蓝光+1亿负离子护发】, 冰川蓝【蓝光+1亿负离子护发】, 冰川蓝【1亿负离子护发】","jfs/t1/177509/13/54223/97915/67486d2cF31e51d04/31c0ddc63768d443.jpg.avif, jfs/t1/199438/15/50694/88245/67486d25Fc8ef9ce1/49e46605eb9f3901.jpg.avif, jfs/t1/196735/13/53554/103802/67486d33F6141c2c7/94b67a252efd93f4.jpg.avif",,,,,5.0
100068017541,美的（Midea）高速,179.00,10万+,美的京东自营官方旗舰店,https://item.jd.com/100068017541.html,jfs/t1/185890/5/54108/86985/67499d6cFf18e90a0/8534fd4d91939d10.jpg.avif,"jfs/t1/185890/5/54108/86985/67499d6cFf18e90a0/8534fd4d91939d10.jpg.avif, jfs/t1/156648/1/45204/95538/67049d02Fe677fc1f/d9451b28166ef607.jpg.avif, jfs/t1/150276/40/46198/61301/67049d02F5a4a81cc/3f5d7c106aa9f1ed.jpg.avif, jfs/t1/216553/27/44692/72688/67049d01F0548555a/67be5a14f0a1b77f.jpg.avif, jfs/t1/242131/20/19325/63084/67049d01F6799ff19/9bd17ef2e32d2c08.jpg.avif",选择款式                                                ,"【家用高速】39亿等离子-星光紫, 【家用高速】39亿等离子-深空灰, 【家用高速】39亿等离子-流光白, 【家用高速】39亿等离子-星光银, 【Mini高速】39亿等离子-冰奶咖, 【Mini高速】39亿等离子-山峰蓝, 送礼首选-高速智能屏-智能自清洁, 【滋养补水】双极水离子-水光紫","jfs/t1/226483/24/28957/86730/67499d6bF871df5d6/5abc2f6c61482ef2.jpg.avif, jfs/t1/185890/5/54108/86985/67499d6cFf18e90a0/8534fd4d91939d10.jpg.avif, jfs/t1/182992/6/53307/81253/67499d6dF8808de53/b10b5c7c6920126d.jpg.avif, jfs/t1/191249/10/52760/86693/67499d6cFc28a6b91/6ac0f17beec74b8f.jpg.avif, jfs/t1/227187/30/29949/89027/67499629F9a531f00/8ed48efb5381ec11.jpg.avif, jfs/t1/172279/29/53750/89776/6749962aFb1ed76e3/f247d8cd1183cc0e.jpg.avif, jfs/t1/222766/28/48811/113430/67499629Fe3b119f8/ca5cae882dd94f91.jpg.avif, jfs/t1/230618/36/30840/123968/67499e45F9d05dcf5/a08d03603f9855c2.jpg.avif",,,,,5.0
100029068348,飞科 FLYCO 电,89.10,100万+,飞科京东自营旗舰店,https://item.jd.com/100029068348.html,jfs/t1/238544/40/23362/110693/674868f1F789fc6b1/1c2dff88110d62d6.jpg.avif,"jfs/t1/238544/40/23362/110693/674868f1F789fc6b1/1c2dff88110d62d6.jpg.avif, jfs/t1/244639/7/18836/57887/66e54ea5Fb25a4488/c03ad26ec009f458.jpg.avif, jfs/t1/156451/17/23824/232602/6188d710Efd85a21d/746ed5488e2d20f4.jpg.avif, jfs/t1/161981/10/23329/191014/6188d710E3857ce8c/cbc24a32aa083499.jpg.avif, jfs/t1/204007/31/14493/328090/6188d710Ee14ee702/3471b01af0f76405.jpg.avif",选择款式                                                ,"【珍珠白】高速吹风, 【公主粉】高速吹风, 【象牙白】普通款","jfs/t1/240860/39/13916/79499/675043dbFe7fab1c8/a8381a25d8f80dee.jpg.avif, jfs/t1/176960/20/54148/95943/67488c29Fd002f93c/e847d03ae7bb211c.jpg.avif, jfs/t1/238544/40/23362/110693/674868f1F789fc6b1/1c2dff88110d62d6.jpg.avif",,,,,5.0
100046779835,松下（Panasonic）家用电,128.00,20万+,松下电器京东自营旗舰店,https://item.jd.com/100046779835.html,jfs/t1/195097/26/52956/115089/674aff16F423943aa/a4f1cc2c6ae50f39.jpg.avif,"jfs/t1/195097/26/52956/115089/674aff16F423943aa/a4f1cc2c6ae50f39.jpg.avif, jfs/t1/188765/10/46178/72639/667a966fF6b8c23fa/e03b2c458e1d2069.jpg.avif, jfs/t1/100106/13/45141/166120/650940c1Fd722655a/c7db38214891c689.jpg.avif, jfs/t1/166106/18/40812/53981/650940d2F137c69a6/e6797231339ee465.jpg.avif, jfs/t1/102021/23/39145/64698/650940f2F845f4166/3c44d0a66ac5e551.jpg.avif",选择款式                                                ,"【负离子润发】大功率速干|绿, 【负离子润发】大功率速干|灰, 【升级】配收纳架+收纳袋丨紫, 【升级】配收纳架+收纳袋丨白, 【负离子润发】大功率速干|蓝, 【负离子润发】大功率速干|粉, 【负离子润发】大功率速干|黄","jfs/t1/245476/21/25447/127050/674aff0dF1a48a156/9c35707033f9a049.jpg.avif, jfs/t1/195097/26/52956/115089/674aff16F423943aa/a4f1cc2c6ae50f39.jpg.avif, jfs/t1/202670/3/51270/108272/674aff15Fe2103a40/867f54eaa1bae3ba.jpg.avif, jfs/t1/240193/20/24659/107653/674aff13F22511612/e77812ba72e4aa94.jpg.avif, jfs/t1/209445/23/49725/121603/674aff10Fe8cc1298/cfaacba774d334b0.jpg.avif, jfs/t1/174003/24/51696/119045/674aff0eF6677d33e/0068d7c05330ed88.jpg.avif, jfs/t1/192822/33/53725/120831/674aff0eF976f3bc9/92d87486cc3932f8.jpg.avif",,,,,5.0
10096609439255,SYOURAN德系电,45.00,5000+,SYOURAN个护健康旗舰店,https://item.jd.com/10096609439255.html,jfs/t1/225535/5/12216/61008/6747ee70F6be239bc/b0a2711c4417efdc.jpg.avif,"jfs/t1/225535/5/12216/61008/6747ee70F6be239bc/b0a2711c4417efdc.jpg.avif, jfs/t1/148520/35/48015/99560/6746b005F549a871a/9ce852fa8afdac8b.png.avif, jfs/t1/240294/34/25908/95929/6746b00dF6ac983b8/10221e12ad535c2a.jpg.avif, jfs/t1/248605/7/841/64556/658bd67cF55faf4e1/e6bac6fe8b39778e.jpg.avif, jfs/t1/248270/7/803/64557/658bd67dF68914608/3583275f61b0f267.jpg.avif",选择款式                                                ,"银灰色(13000家用大风力）, 睿智黑(13000家用大风力）, 银灰色(18000发廊级大风力）, 睿智黑(18000发廊级大风力）","jfs/t1/225535/5/12216/61008/6747ee70F6be239bc/b0a2711c4417efdc.jpg.avif, jfs/t1/221889/31/50384/89055/6747ee65F37e00bb5/9382934685bc881a.jpg.avif, jfs/t1/225535/5/12216/61008/6747ee70F6be239bc/b0a2711c4417efdc.jpg.avif, jfs/t1/221889/31/50384/89055/6747ee65F37e00bb5/9382934685bc881a.jpg.avif",,,,,
10102438731737,QZEK高速无叶,78.00,2万+,QZEK旗舰店,https://item.jd.com/10102438731737.html,jfs/t1/99440/10/50546/107371/66cb39c2Ffee5adca/8d9239497c883903.jpg.avif,"jfs/t1/99440/10/50546/107371/66cb39c2Ffee5adca/8d9239497c883903.jpg.avif, jfs/t1/9704/20/27312/115731/66cb39c0F375ed2f6/59aa08c7f82d11b0.jpg.avif, jfs/t1/155938/40/43867/103667/6646f481F6ce386d7/4a682eec33d47d1e.jpg.avif, jfs/t1/248273/8/8805/55848/6646f481F6c4a6a3b/f3a35f1961e6cdbd.jpg.avif, jfs/t1/103815/14/44607/51417/6646f481Fa80c5458/b3c4e67d8e21162b.jpg.avif",选择款式                                                ,"顶配版【玫红色】单风嘴1.8米线+礼盒装, 顶配版【星空灰】单风嘴1.8米线+礼盒装, 顶配版【玫红色】5风嘴1.8米线+礼盒装, 顶配版【星空灰】5风嘴1.8米线+礼盒装","jfs/t1/99440/10/50546/107371/66cb39c2Ffee5adca/8d9239497c883903.jpg.avif, jfs/t1/25151/15/22869/108037/66cb39c2F0a262f69/64371ea60905e39b.jpg.avif, jfs/t1/230640/22/25978/101566/66cb39c1Fb0d4ba84/d017c0cb8aedbeec.jpg.avif, jfs/t1/94037/19/42293/102424/66cb39c1F8a1b3e55/b6c12bf41da4c4f6.jpg.avif",,,,,4.8
10092521711641,力夫德高速无叶,77.20,10万+,力夫德旗舰店,https://item.jd.com/10092521711641.html,jfs/t1/5575/39/23692/85230/66db27a0F5c9e4fac/b228d5c1ad9ff4d7.jpg.avif,"jfs/t1/5575/39/23692/85230/66db27a0F5c9e4fac/b228d5c1ad9ff4d7.jpg.avif, jfs/t1/236341/29/18805/260628/666aa55aF44565fd2/fc8ffad80b0fd455.jpg.avif, jfs/t1/228754/7/5164/113454/65671b21Fd24f2518/5d135e0eb7b9a917.jpg.avif, jfs/t1/133502/31/44141/99228/6730da02F3a5dcee0/698bf02f23f70be3.png.avif, jfs/t1/234731/24/4981/103185/6564a9eeFfbcc1c2c/a9039885bf3d7d04.jpg.avif",选择款式                                                ,"顶配版【星空灰】单风嘴1.8米线+礼盒装, 顶配版【玫红色】单风嘴1.8米线+礼盒装, 顶配版【马卡龙】单风嘴1.8米线+礼盒装, 顶配版【梦幻紫】单风嘴1.8米线+礼盒装, 顶配版【星空灰】5风嘴1.8米线+礼盒装","jfs/t1/5575/39/23692/85230/66db27a0F5c9e4fac/b228d5c1ad9ff4d7.jpg.avif, jfs/t1/159626/26/51955/69854/6730da05F8382b937/77e2c49947f8bfd9.jpg.avif, jfs/t1/104006/20/50416/72676/66dbf266F63fc2a04/d318c475d63f72e1.jpg.avif, jfs/t1/238048/11/25280/72505/66dbf273Ffcedbb77/bd2f4c0050f79982.jpg.avif, jfs/t1/181785/10/47991/65083/66dbf26aFbb06c721/50b609195ec6256f.jpg.avif",,,,,
100057234314,飞利浦（PHILIPS）变频护龈,799.00,5万+,飞利浦京东自营官方旗舰店,https://item.jd.com/100057234314.html,jfs/t1/212094/5/49108/260320/67493a10Fb515d5a5/c9d6afb2284c08a1.png.avif,"jfs/t1/212094/5/49108/260320/67493a10Fb515d5a5/c9d6afb2284c08a1.png.avif, jfs/t1/6667/37/31364/104067/66dfb441F3be8762e/d6deb594c7a678f6.jpg.avif, jfs/t1/128756/17/37717/58327/64b51477F2f2824b7/28feb8c51398a156.jpg.avif, jfs/t1/181190/10/47252/110821/66dfe37bF0f74a12f/d6aff1aef44b998b.jpg.avif, jfs/t1/140105/7/36184/84147/64ad3f4dF7a07fa6d/5239f1656502a996.jpg.avif",选择款式                                                ,"钻石7系-变频护龈【极夜黑】, 钻石7系-变频护龈【樱花粉】, 钻石7系-龙年限定礼盒【极夜黑】, 钻石7系-龙年限定礼盒【樱花粉】, 钻石7系-情侣双支套餐【黑&粉】","jfs/t1/212094/5/49108/260320/67493a10Fb515d5a5/c9d6afb2284c08a1.png.avif, jfs/t1/218820/33/50852/123687/674969b7F1b20ac36/c2a49920057599f8.jpg.avif, jfs/t1/199447/4/50851/149860/674939edF4738f619/540e34fe66b57273.png.avif, jfs/t1/183131/27/53667/134065/674939cbF44990124/63a905b4fc7291d7.png.avif, jfs/t1/244483/15/24587/74339/673590b5F5c28ec70/81cee04de35d4cf6.png.avif",,,,,5.0
10071842325554,星球米琪（X.Q.M.Q）,29.00,2万+,诺瀚个护健康专营店,https://item.jd.com/10071842325554.html,jfs/t1/174039/40/49311/57601/6718a7afFb9f0b4af/6e4355c2fdf4cb59.jpg.avif,"jfs/t1/174039/40/49311/57601/6718a7afFb9f0b4af/6e4355c2fdf4cb59.jpg.avif, jfs/t1/131594/7/43459/136479/66bd79ddF00bc7f41/79fe6e3b9a8ed5f9.jpg.avif, jfs/t1/107239/37/31881/74599/64229b78F813d77f7/b6ad1c9811dd928f.jpg.avif, jfs/t1/165875/20/35206/82423/64229b79F087c2cda/e30f9e031b631d25.jpg.avif, jfs/t1/227246/29/7723/73506/6576f457F51af1439/889656cddd948fbd.jpg.avif",选择款式                                                ,"简约白+4刷头+充电线, 炫酷黑+4刷头+充电线, 时尚粉+4刷头+充电线, 2支装白+黑8刷头+充电线*2, 2支装黑+粉8刷头+充电线*2, 2支装粉+白8刷头+充电线*2, 升级2支装白+黑8刷头+充电线*2, 升级2支装黑+粉8刷头+充电线*2, 升级2支装粉+白8刷头+充电线*2","jfs/t1/174039/40/49311/57601/6718a7afFb9f0b4af/6e4355c2fdf4cb59.jpg.avif, jfs/t1/111536/17/50391/61297/6718a7acF11c41703/6a2171f93601cab8.jpg.avif, jfs/t1/100547/36/50668/64073/6718a7b5Fa22b745b/1b913299780abaa5.jpg.avif, jfs/t1/131267/6/49962/68434/6718a7aeF7344152e/2ae81c1ce1182cd3.jpg.avif, jfs/t1/142707/33/45758/70102/6718a7a4Fc351dba4/af1d16cff2899b19.jpg.avif, jfs/t1/98923/1/54562/66685/6718a7a8F87d433c4/c5d9a5ecba186189.jpg.avif, jfs/t1/206084/13/44201/68404/6718a7b3F54292894/a4e00b08de330d7f.jpg.avif, jfs/t1/94827/32/50610/70348/6718a7aaF82e43dc5/38a85017a7165929.jpg.avif, jfs/t1/187788/29/49646/66708/6718a7a6F5baf9434/5a72b1239d02da79.jpg.avif",,,,,4.7
10041169418612,小米（MI） 米家声波,36.89,20万+,小米智能官方旗舰店,https://item.jd.com/10041169418612.html,jfs/t1/204022/14/49505/71042/6750121aF68a46812/0661df7286f7318d.jpg.avif,"jfs/t1/204022/14/49505/71042/6750121aF68a46812/0661df7286f7318d.jpg.avif, jfs/t1/210185/4/10731/92046/61a06e7eE17ee6e74/2b0f376623745a44.jpg.avif, jfs/t1/175874/11/21739/74576/61a06e7eEec0a76f2/85149a121576fb6e.jpg.avif, jfs/t1/143945/32/22332/86176/61a06e7fEee02de9f/8e3797e836bd948c.jpg.avif, jfs/t1/215164/19/5673/45705/61a06e7fE38a084ac/ae3dd62ddd3a6c2f.jpg.avif",选择款式                                                ,"米家T100电动牙刷头（通用型)三支装, 米家声波电动牙刷T100—白色, 米家声波电动牙刷T100—蓝色, 米家声波电动牙刷T100—粉色, 米家声波电动牙刷T100白色+原装刷头套装, 米家声波电动牙刷T100蓝色+原装刷头套装, 米家声波电动牙刷T100粉色+原装刷头套装, 米家电动牙刷T100蓝色+粉色情侣装, 米家T100电动牙刷头（通用型) 6支装","jfs/t1/163036/40/49491/90179/6750120eF2cb6d04f/0e8775cb2c420de5.jpg.avif, jfs/t1/168424/36/24810/70726/67501212F3c0b83de/805477e0811886d1.jpg.avif, jfs/t1/240988/29/18068/70593/67501215Fdca3f92b/7c0c3c0e23db9f96.jpg.avif, jfs/t1/204022/14/49505/71042/6750121aF68a46812/0661df7286f7318d.jpg.avif, jfs/t1/186346/32/54669/76623/67501222Fc63c7270/a6405c3b0ff748a2.jpg.avif, jfs/t1/210316/7/48544/76516/67501226F883bd70a/a89e66417c3c4d4b.jpg.avif, jfs/t1/225566/27/13020/76973/67501231F78c7054f/da4fc429a6d71d66.jpg.avif, jfs/t1/223862/36/51595/72661/67501237Ffdc29521/3c85cd77737f6e9c.jpg.avif, jfs/t1/217506/1/50698/79001/67501242F16385f4c/35c5ef822e158c7e.jpg.avif",,,,,
